"Planet_number";"P_name";"star_idx";"Mass";"RELATIVE DENSITY";"RADIUS";"terrain type";"TYPE OF CLIMATE"
230;"Dracoara Zephyrian";8798;7,01;1,156;1,82;"lakes:glacier:urban";"windy:subartic:rocky:frigid"
231;"Lysian Nexus Mu";3889;6,6;0,635;2,18;"rainforest:reef";"temperate:rocky:artificial temperate:tropical"
232;"Haedus Decimal";5982;0,99;0,954;1,01;"vine:grassland:ice cave:rocky canyon";"artic:humid:frozen:tropical"
233;"Haedus Octal";5982;3,33;0,851;1,58;"urban:ash:desert:acid pool";"superheated:tropical:humid:temperate:windy:subartic"
234;"Haedus Nonal";5982;1,49;1,672;0,96;"ice cave:mountain";"subartic:artic:windy:frigid"
235;"Tsuki's Beacon VIII";9883;1,73;0,979;xx;"island:lakes:desert:toxic cloudsea:verdant";"subartic:humid:artificial temperate:hot:arid:frozen"
236;"Dracozen Tritonian";7569;2,81;0,953;1,43;"toxic cloudsea:bog:cliff:grassy hill:river:island";"artificial temperate:humid:artic:superheated:rocky"
237;"Cursa Nyxios";2490;3,2;1,238;1,37;"canyons:acid pool:field";"artificial temperate:humid:frigid:artic"
238;"Cursa Typhonian";2490;1,75;1,059;1,18;"rainforest:jungle:rocky canyon:sea";"tropical:rocky:humid"
239;"Rōka Mu";3919;3,19;0,938;1,5;"verdant:city:cliff:plain";"humid:frozen:frigid"
240;"Rōka Gamma";3919;4,25;1,398;1,45;"acid pool:jungle:hill";"arid:frigid:hot:artic:subartic:artificial temperate"
241;"Pollux Si";1043;4,01;0,893;1,65;"city:sea:grassy hill:rock arche:cityscape:vine:acid pool";"temperate:superheated:frigid:artic:subartic"
242;"Pollux Ba";1043;1,44;0,952;1,15;"glacier:canyons:island:valley";"temperate:subartic:frigid:hot"
243;"Chechia Gaian";3785;2,36;1,114;1,28;"bog";"humid:artificial temperate:artic:windy:temperate"
244;"Chechia Cerberian";3785;1,8;1,193;1,15;"glacier:rocky island:plateau:river:ocean:forest";"frozen:frigid:artificial temperate:rocky"
245;"Olympus Anomaly Epsilon";9249;0,65;1,117;0,83;"grassy hill:sea:fungus forest:ice cave:field:acid pool:plateau:cave";"subartic:tropical:frigid:hot:rocky"
246;"Photara Phi";3644;2,67;0,906;1,43;"urban:ash:hill:rock arche:reef";"frigid:frozen:subartic:rocky:superheated"
247;"Photara Epsilon";3644;3,33;0,94;1,52;"plateau";"windy:subartic:arid:temperate"
248;"Citalá Vigesimal";2053;7,15;1,428;1,71;"desert";"superheated:tropical:subartic"
249;"Citalá Nonal";2053;4,03;0,826;1,7;"savanna:desert:river:field";"frigid:temperate:superheated:artificial temperate:humid:arid"
250;"Citalá Sextant";2053;6,14;0,972;1,85;"ice canyon";"frozen:tropical:windy"
251;"Arkab Posterior Undecimal";437;2,04;1,229;1,18;"barren:lakes";"temperate:frigid:rocky:arid"
252;"Sekai Ember Oranos";7544;0,79;0,888;0,96;"urban:grassland";"temperate:frozen:rocky"
253;"Spectronix Quintal";8181;9,57;0,346;3,03;"verdant";"superheated:frozen"
254;"Spectronix Octal";8181;6,97;1,133;1,83;"plateau:cityscape";"frigid:rocky"
255;"Spectronix Undecimal";8181;3,13;0,982;1,47;"reef:jungle";"superheated:tropical"
256;"Unukalhai Liu";3748;1,22;1,2;1,01;"mountain";"artic"
257;"Unukalhai Shi";3748;1,79;1,261;1,12;"rocky canyon";"artificial temperate"
258;"Unukalhai Wu";3748;7,28;0,973;1,96;"toxic cloudsea:bog:grassy hill";"artic:frigid:humid:frozen:temperate"
259;"Unukalhai Ba";3748;1,94;0,935;1,28;"glacier:sinkholes:reef";"windy:artic:hot:rocky:artificial temperate"
260;"Enso Wu";5855;8,63;1,5;1,79;"ocean";"tropical"
261;"Enso Ba";5855;5,11;1,02;1,71;"river:island:ice canyon:rainforest";"frozen:arid:temperate:humid"
262;"Enso Jiu";5855;6,29;1,138;1,77;"fungus forest:cityscape";"windy:arid:artic:rocky:tropical:subartic:hot"
263;"Enso Liu";5855;3,35;0,955;1,52;"plateau:ice cave:ash:ice canyon:lakes";"superheated:rocky:artificial temperate:artic:windy"
264;"Icewind Gaian";2201;1,87;0,653;1,42;"acid pool:volcano:desert:rainforest";"windy:superheated:rocky:frozen"
265;"Sumi Cascade XI";7018;0,63;0,951;0,87;"ash:glacier:jungle:tundra";"superheated:arid:windy:subartic:tropical"
266;"Sumi Cascade XIV";7018;1,89;xx;1,31;"rocky desert:jungle:mountain:cave:verdant:rock arche:sinkholes:city:rocky island";"superheated:subartic:frigid:artic:frozen:rocky"
267;"Crimson Enigma Asclepian";9112;4,02;1,39;1,42;"plain:forest";"artificial temperate:tropical:artic"
268;"Ginan XV";3422;4,01;0,943;1,62;"ice cave:plain";"subartic"
269;"Ginan III";3422;2,9;1,019;1,42;"plateau";"windy:superheated:temperate:hot"
270;"Ginan XIX";3422;2,01;0,89;1,31;"acid pool:ice cave:lakes";"arid:hot:rocky:frozen:tropical:windy"
271;"Umbral Silence Eosian";9095;2,77;0,986;1,41;"ice canyon";"frigid:tropical:windy:artic"
272;"Umbral Silence Museios";9095;1,49;1,176;1,08;"city:plateau:verdant:cityscape:ice cave:hill";"frozen:subartic:frigid:artic"
273;"Helionyx III";6845;2,06;1,092;1,24;"reef:sea:vine:field:rock arche:mountain";"subartic:superheated:temperate:frozen:artic"
274;"Cosmic Shadows Delta";2499;3,45;0,987;1,52;"river:plain";"artificial temperate:temperate:hot"
275;"Solaris Cascade Quintal";8036;0,53;0,897;0,84;"rocky canyon:savanna:city";"humid:frigid:tropical:temperate:frozen"
276;"Solaris Cascade Secant";8036;0,74;1,368;xx;"forest:city:swamp";"frigid:tropical:hot"
277;"Naledi Psychean";7448;6,59;0,892;1,95;"field:cave:lava river:volcano:plain:glacier:cityscape";"frigid:superheated:frozen:tropical:hot"
278;"Dofida Yi";316;1,47;1,275;1,05;"rainforest:ocean:lakes:volcano:cave:desert";"frigid:windy:temperate:artificial temperate:tropical:superheated:subartic"
279;"Dofida San";316;3,5;0,788;1,64;"cliff:rocky canyon:city:plain";"artic:artificial temperate:rocky"
280;"Dofida Qi";316;3,57;1,037;1,51;"cave";"superheated:arid"
281;"Sansuna San";6077;4,92;1,323;1,55;"bog:plateau:mountain";"temperate:subartic:hot:frozen:rocky:tropical"
282;"Sansuna Wu";6077;2,13;0,922;1,32;"barren:ice canyon:cityscape:plateau";"frigid:arid:rocky:superheated"
283;"Sansuna Yi";6077;2,02;0,729;1,4;"lava river";"rocky:humid:hot:superheated:arid:artificial temperate:frozen"
284;"Sansuna Jiu";6077;0,54;0,311;1,2;"plateau";"frigid"
285;"Elkurud Jiu";9854;5,14;1,057;1,69;"rocky island";"tropical:rocky:arid:windy:subartic:frigid:hot"
286;"Elkurud Yi";9854;1,46;0,954;1,15;"reef:lakes:island:vine:swamp";"tropical:temperate:humid"
287;"Muspelheim Upsilon";9167;2,05;1,168;1,21;"plateau";"frozen:tropical:rocky:hot:subartic"
288;"Sualocin XXIII";4651;1,09;1,014;1,02;"cave:mountain";"hot:tropical:frozen:frigid:superheated:rocky"
289;"Mira Gaian";2364;2;0,686;1,43;"ice canyon:forest:rock arche";"humid:windy:artificial temperate:frigid"
290;"Mira Cerberian";2364;4,02;0,863;1,67;"cave:valley:acid pool:canyons";"frigid:hot:frozen:arid"
291;"Mira Dionian";2364;2,39;0,886;1,39;"jungle:rocky canyon:glacier";"artic:arid:windy:superheated"
292;"Mira Selenean";2364;5,27;1,025;1,73;"savanna:cityscape:ice cave:rainforest:ice canyon";"humid:temperate:frigid:rocky:windy:hot"
293;"Alkarab Nemesisian";3718;1,41;1,117;1,08;"ice cave:fungus forest";"tropical:frigid:subartic:windy"
294;"Adhara II";9528;9,67;0,704;2,39;"field";"frigid:hot:artic:windy"
295;"Ronin's Veil Undecimal";7441;3,8;1,15;1,49;"sea:savanna:ice canyon:plateau:valley:rock arche";"artificial temperate:frigid:tropical:temperate:hot"
296;"Ronin's Veil Tertial";7441;9,78;0,879;2,23;"fungus forest:lakes:vine";"windy:humid:artic:superheated"
297;"Sakura's Labyrinth Lambda";3195;1,37;0,464;1,43;"field:rocky canyon:urban";"temperate:artic:arid:frigid:frozen"
298;"Sakura's Labyrinth Epsilon";3195;4,95;0,923;1,75;"mountain";"frozen:superheated"
299;"Alpherg Liu";9337;1,12;0,738;1,15;"fungus forest:vine:river:city:field:lakes:ash:verdant:desert";"temperate:rocky:hot:subartic:frigid:frozen"
300;"Alpherg Er";9337;6,12;1,107;1,77;"glacier:cityscape:plateau:tundra";"artic:rocky:subartic"
301;"Alpherg Jiu";9337;1,45;0,84;1,2;"ice canyon:vine:tundra";"subartic:rocky"
302;"Alpherg Ba";9337;5,94;1,061;1,78;"lava river:desert:fungus forest:plain:river";"subartic:rocky:hot:temperate:humid"
303;"Stellae Abyss Er";3798;2,52;0,861;1,43;"rainforest:swamp:bog:plain";"subartic:frigid:humid"
304;"Hunahpú Qi";1055;1,38;0,981;1,12;"mountain:swamp";"tropical:windy"
305;"Arcanara Vigesimal";8746;1,53;1,222;1,08;"cityscape:mountain";"humid"
306;"Arcanara Decimal";8746;1,11;0,81;1,11;"sea:tundra:glacier:reef:jungle";"hot:frigid:artic:artificial temperate:windy"
307;"Arcanara Duodecimal";8746;0,41;0,773;0,81;"cave:city";"temperate"
308;"Arcanara Sextant";8746;2,51;0,866;1,43;"swamp:mountain";"humid:rocky:windy"
309;"Aetherion XII";8898;6,24;0,877;1,92;"forest:ice canyon";"temperate:frozen:arid:windy"
310;"Aetherion XI";8898;2,18;0,708;1,45;"cityscape:urban:ice cave";"frigid:artificial temperate"
311;"Aetherion V";8898;6,89;0,733;2,11;"river:canyons:cityscape:fungus forest";"humid:frigid:rocky:windy"
312;"Aetherion XXII";8898;6,72;1,002;1,89;"island:canyons";"artificial temperate:frozen:rocky"
313;"Shaula Hermesios";923;7,68;1,091;1,92;"lava river:bog:cityscape:acid pool:savanna";"hot:windy:subartic:arid"
314;"Nebulithra Chi";1815;0,69;0,941;0,9;"plateau";"artificial temperate:windy:humid"
315;"Bastet's Silence Duodecimal";692;3,39;1,578;1,29;"rainforest:bog";"frozen:hot:superheated"
316;"Bastet's Silence Octal";692;1,94;0,845;1,32;"swamp:valley:cityscape:vine";"artificial temperate:tropical:subartic:arid"
317;"Kalausi Persephonian";4578;2,87;1,282;1,31;"sea:cityscape:island";"windy:arid:frigid"
318;"Kalausi Nyxios";4578;0,78;0,814;0,99;"fungus forest:jungle:cave";"rocky:arid:tropical:frigid:humid"
319;"Merga Hermian";9614;1,37;0,732;1,23;"mountain:ice cave";"temperate:frozen:artic:arid:rocky:subartic"
320;"Pharaoh's Silence Zeta";5957;1,21;1,295;0,98;"jungle:tundra:desert:reef:savanna";"rocky:artificial temperate:tropical"
321;"Alsafi Zeta";4801;5,77;1,073;1,75;"forest";"windy:rocky:humid:frozen"
322;"Grimclaw Epsilon";7585;1,12;0,867;1,09;"glacier:forest:sinkholes";"frigid:artic:hot:frozen:temperate:windy"
323;"Arcturus IX";4516;6,15;0,602;2,17;"vine:ice cave:toxic cloudsea:rocky canyon:verdant:rainforest:cliff:sea:scrubland";"arid:subartic:frozen:humid:rocky:frigid"
324;"Arcturus XVI";4516;2,94;1,058;1,41;"volcano";"hot:subartic:arid:artic"
325;"Arcturus XXIII";4516;7,97;1,043;1,97;"fungus forest:rocky island:sea:mountain:verdant";"frozen:windy:rocky:frigid:superheated:humid"
326;"Cosmic Cascade XXIII";2143;7,38;1,087;1,89;"rainforest:lakes";"tropical:artic:frigid"
327;"Cosmic Cascade VI";2143;6,72;0,896;1,96;"ocean";"hot:superheated"
328;"Quasarionyx Qi";9536;1,95;1,435;1,11;"rock arche:cliff:jungle:ocean:ice cave:glacier:plateau";"tropical:windy:frigid:subartic:frozen:artic"
329;"Quasarionyx Wu";9536;5,21;1,095;1,68;"volcano";"superheated:windy:temperate:humid:hot:arid"
330;"Quasarionyx Yi";9536;2,34;1,469;1,17;"rocky canyon:lava river";"frigid:frozen:rocky:subartic:tropical:arid"
331;"Alkes XI";275;2,5;0,58;1,63;"jungle:fungus forest:lakes:grassland:tundra:cliff:ice canyon:sinkholes";"subartic:hot:artic:tropical:temperate"
332;"Alkes VII";275;2,22;0,899;1,35;"ocean:jungle:ice cave:fungus forest:island";"humid:windy:artic:temperate"
333;"Quantumith Aetherios";6334;7,26;1,163;1,84;"vine";"humid"
334;"Runeblade Si";7499;3,28;0,52;1,85;"jungle:volcano:glacier:toxic cloudsea:jungle:rocky canyon";"subartic:temperate:hot:frozen:superheated"
335;"Runeblade Wu";7499;3,43;0,88;1,57;"glacier:verdant:savanna:lakes:plateau";"artificial temperate:subartic:rocky:windy"
336;"Runeblade Qi";7499;7,16;1,144;1,84;"glacier:ice canyon:cliff:grassy hill:reef";"windy:superheated:artic:subartic:humid"
337;"Vorpal Abyss Undecimal";777;5,88;0,694;2,04;"swamp:desert:cliff:rocky canyon:lakes:island:sea:ash";"frozen:frigid:hot:arid:tropical:windy"
338;"Vorpal Abyss Sextant";777;9,93;1,187;2,03;"ocean:rock arche:rocky desert";"tropical:frozen"
339;"Kasumi Septimal";9886;1,56;0,636;1,35;"rocky canyon:rock arche:verdant:ocean";"artic:superheated:artificial temperate:rocky"
340;"Ebon Cosmos Pi";1936;1,74;0,964;1,22;"tundra:rock arche:city:bog:lakes";"frigid:artificial temperate:temperate:subartic:windy"
341;"Ebon Cosmos Epsilon";1936;0,72;0,5;1,13;"vine:hill:cave:forest:rocky canyon";"superheated:temperate:humid:tropical:artic:arid"
342;"Ebon Cosmos Mu";1936;5,44;1,169;1,67;"ash:sea:canyons:river";"arid:hot:superheated"
343;"Ebon Cosmos Iota";1936;8,97;0,957;2,11;"rocky desert:plain:cityscape:verdant";"hot:humid:rocky:superheated"
344;"Sakuya Nebula Yi";1898;5,93;0,72;2,02;"hill:rocky desert:plateau:savanna:rainforest:river";"hot:artic:rocky:superheated"
345;"Sakuya Nebula Si";1898;8,78;0,86;2,17;"vine:sinkholes:island:ice cave:lava river:river:acid pool";"rocky:arid:hot:frozen:subartic"
346;"Exoplantra Omicron";563;5,89;0,672;2,06;"plain:verdant:rocky desert:field";"temperate:superheated:humid:arid:artificial temperate:hot"
347;"Alkaphrah Gaian";2442;7,1;1,121;1,85;"hill:grassy hill:cityscape:jungle";"rocky:hot:subartic:frozen"
348;"Fulu Jiu";2253;6,42;0,939;1,9;"rocky island:ice cave:lava river:canyons";"windy:rocky:hot:frigid"
349;"Fulu Shi";2253;1,7;0,884;1,24;"urban:island:grassland:reef:verdant:field";"subartic:rocky:temperate:windy:tropical:superheated"
350;"Fulu Si";2253;2,59;0,884;1,43;"grassland:ice canyon:rocky desert";"tropical:arid:frozen:humid:artificial temperate"
351;"Fulu Qi";2253;7,28;1,016;1,93;"lakes:urban";"artic:superheated:frigid:windy"
352;"Baten Kaitos IX";722;2,25;1,252;1,22;"grassy hill:rocky canyon:ocean";"hot:windy:subartic:tropical"
353;"Baten Kaitos XXII";722;6,53;1,075;1,82;"reef:grassland:glacier";"windy:humid:subartic:frigid:frozen:tropical"
354;"Baten Kaitos III";722;2,48;0,8;1,46;"reef:forest:glacier:vine";"frozen:temperate:tropical"
355;"Baten Kaitos XIX";722;2,75;0,878;1,46;"cityscape";"artic"
356;"Taiyi Iota";6770;1,81;1,183;1,15;"reef:grassland:volcano:vine";"frozen:superheated:temperate:frigid:hot:artic"
357;"Markeb I";2847;4,7;0,879;1,75;"ash:island:lakes:valley:field:city:cliff:glacier";"frozen:artificial temperate:superheated:artic:humid"
358;"Markeb IX";2847;1,07;0,738;1,13;"grassland:cliff:city:reef:hill:desert";"artificial temperate:temperate:arid:frozen"
359;"Markeb XV";2847;3,53;1,383;1,37;"valley:ice canyon";"superheated:frigid"
360;"Miaplacidus Atlasios";1511;1,97;1,196;1,18;"desert:cityscape";"frozen:frigid:temperate:windy:tropical:hot"
361;"Miaplacidus Morphean";1511;2,77;1,007;1,4;"jungle";"subartic:hot"
362;"Miaplacidus Apollox";1511;2,92;0,83;1,52;"sinkholes:vine:forest:reef:mountain:swamp";"artic:hot:tropical:humid"
363;"Menkar Rho";693;1,88;1,119;1,19;"sea:rock arche:ice canyon:island:lava river:vine";"humid:temperate:frigid:arid:rocky"
364;"Menkar Sigma";693;1,86;0,777;1,34;"ocean:volcano:river";"superheated:frigid:frozen:rocky:windy:tropical:arid"
365;"Menkar Epsilon";693;1,86;1,203;1,16;"mountain:lakes";"hot:arid:windy"
366;"Menkar Mu";693;1,53;0,625;1,35;"ocean:mountain";"artificial temperate:arid:frigid:rocky:temperate"
367;"Cosmoth Lambda";6538;7,07;1,2;1,81;"lakes:desert";"tropical:superheated:subartic:artic:frozen"
368;"Cosmoth Beta";6538;0,99;0,876;1,04;"fungus forest:river:field";"rocky:humid"
369;"Sekhmet's Mirage Nu";9222;3,11;0,813;1,56;"scrubland:urban";"windy:humid:artificial temperate:arid"
370;"Sekhmet's Mirage Sigma";9222;0,76;1,03;0,9;"field";"frigid:temperate:arid:humid"
371;"Sekhmet's Mirage Psi";9222;3,22;0,929;1,51;"verdant:plateau:ice cave:lava river:savanna";"artic:arid:frigid"
372;"Aurora Anomaly Kappa";4857;0,53;0,99;0,81;"river:field";"temperate:artificial temperate:superheated:artic"
373;"Aurora Anomaly Pi";4857;3,22;0,832;1,57;"jungle";"superheated:subartic:artic:tropical:temperate"
374;"Aurora Anomaly Tau";4857;6,59;0,774;2,04;"island:urban:vine";"hot:windy:superheated"
375;"Lunar Mirage Si";867;1,25;1,185;1,02;"ash:urban:ocean";"hot:frozen"
376;"Lunar Mirage Shi";867;1,32;1,035;1,08;"jungle:hill:urban:cliff:rock arche";"humid:rocky:artificial temperate"
377;"Ashlesha Secant";6529;1,39;0,898;1,16;"valley";"frozen"
378;"Ashlesha Decimal";6529;5,77;1,309;1,64;"rocky canyon:rocky island:urban";"superheated:artic:frozen:artificial temperate"
379;"Nocturnal Silence Si";8795;7,24;1,069;1,89;"rainforest:lakes:valley:plateau:island:canyons:cityscape";"frozen:temperate:humid:hot:windy:superheated:frigid"
380;"Nocturnal Silence San";8795;0,57;0,886;0,86;"barren:plateau";"arid:artic:rocky"
381;"Cryptic Nebula Zeta";2766;0,84;0,355;1,33;"tundra:rock arche:sea";"rocky:windy:subartic:artificial temperate"
382;"Cryptic Nebula Sigma";2766;4,57;1,133;1,59;"verdant";"hot:frigid:subartic:artificial temperate:humid"
383;"Veritate Persephonian";7618;1,35;0,8;1,19;"valley:scrubland";"arid"
384;"Veritate Museios";7618;4,33;0,797;1,76;"lakes";"arid:artic:frigid:temperate:hot"
385;"Kawa Enigma Yi";2190;1,9;0,742;1,37;"verdant:acid pool:river:plateau";"windy:temperate:subartic:rocky:frozen"
386;"Kawa Enigma Wu";2190;1,75;xx;1,19;"rock arche:island:cliff:rocky island:grassland:jungle";"superheated:hot:tropical:temperate"
387;"Alsciaukat XXIII";9014;1;0,843;1,06;"swamp:forest";"arid:humid:artificial temperate:frigid:rocky:subartic:artic"
388;"Alsciaukat XXI";9014;1,26;1,295;0,99;"cityscape";"artificial temperate:arid"
389;"Alsciaukat XXIV";9014;0,89;1,098;0,93;"volcano:rocky island:lakes:valley:tundra:ash:savanna:urban:mountain:ice cave";"superheated:artificial temperate:artic:rocky:frozen:temperate:hot"
390;"Alsciaukat XIX";9014;6,4;1,43;1,65;"city:plain";"arid"
391;"Aldebaran Vigesimal";2138;9,8;0,827;xx;"glacier";"frozen:artic:arid"
392;"Aldebaran Sextant";2138;0,52;0,857;0,85;"cave";"hot:artificial temperate:windy"
393;"Aldebaran Undecimal";2138;6,8;1,291;1,74;"plain:sinkholes:acid pool:savanna:forest:desert";"artificial temperate:humid:tropical:hot"
394;"Arneb Yi";5496;6,8;0,728;2,11;"tundra:savanna:cave";"frozen:frigid:artic:tropical"
395;"Arneb Qi";5496;1,68;1,537;1,03;"toxic cloudsea:cave:cityscape:acid pool";"subartic:temperate:artic:rocky"
396;"Fawaris Iota";7446;8,44;1,083;1,98;"desert:canyons:city:fungus forest:mountain:cave";"arid:tropical:superheated:temperate"
397;"Fawaris Theta";7446;2,08;0,956;1,3;"urban";"frozen"
398;"Lunarisys Ba";7449;9,29;1,057;2,06;"grassy hill:cliff:island:acid pool:cave";"temperate:windy:artificial temperate:superheated"
399;"Salm Ba";3835;1,1;0,796;1,11;"plateau";"artificial temperate:windy:frigid:tropical"
400;"Salm Jiu";3835;7,94;0,577;2,4;"rocky desert";"hot:subartic:temperate:humid:artificial temperate:frigid"
401;"Salm Shi";3835;1,86;1,173;1,17;"plain:tundra:toxic cloudsea";"frozen:humid:arid:frigid:subartic"
402;"Stellarnox Athenian";8084;0,98;0,979;1;"rock arche:savanna:rocky island:ice cave:field:tundra";"rocky:frozen:tropical:arid"
403;"Stellarnox Pantheon";8084;3,5;0,62;1,78;"rocky desert:bog:grassy hill:rocky island";"temperate:artic:arid:humid"
404;"Stellarnox Astraeos";8084;8,45;0,993;2,04;"cityscape";"superheated:frigid:subartic:tropical"
405;"Solarionis Tertial";6936;3,11;1,137;1,4;"valley";"artic:superheated"
406;"Lunariara Tau";3318;0,6;0,782;0,92;"verdant:cave";"frozen"
407;"Sabik San";7611;7,35;1,316;1,77;"mountain";"temperate:humid"
408;"Sabik Ba";7611;0,72;1,001;0,9;"cliff:reef:forest";"artificial temperate:arid:windy"
409;"Gumala Ba";7445;1,13;0,837;1,11;"sea";"tropical:subartic"
410;"Cocibolca Wu";5446;7,63;1,401;1,76;"acid pool:jungle:field";"frozen:hot:superheated"
411;"Cocibolca Qi";5446;6,9;0,993;1,91;"field:grassy hill";"subartic:hot"
412;"Cocibolca Er";5446;4,86;0,828;1,8;"vine";"hot:frigid:arid:frozen"
413;"Cocibolca Yi";5446;1,33;0,96;1,11;"sea:fungus forest:scrubland:tundra:plain:canyons";"frigid:superheated:arid:rocky:humid"
414;"Eonara Prime";9211;1,38;1,091;1,08;"sinkholes";"superheated:artic:subartic:frigid:arid"
415;"Eonara Quintal";9211;5,72;1,103;1,73;"cave:toxic cloudsea";"tropical:rocky:temperate:artificial temperate:artic:humid"
416;"Eonara Nonal";9211;5,56;1,131;1,7;"lava river:rock arche:savanna:sea";"rocky:superheated:windy:arid:tropical"
417;"Uruk Janusian";1098;6,52;1,35;1,69;"rocky desert:river:lakes";"frozen:humid"
418;"Eagleeye Nemesisian";3086;1,77;1,061;1,19;"fungus forest:jungle:ocean:lakes:sea";"hot:frozen:subartic"
419;"Luminastra Olympios";6143;6,04;0,891;1,89;"plateau:ocean:mountain:jungle:glacier";"subartic:frozen:artic:frigid:tropical:windy"
420;"Nova Cascade Beta";5486;2,85;1,127;1,36;"plateau:cave:jungle:city:grassy hill:bog";"tropical:frozen:humid:subartic"
421;"Nova Cascade Omicron";5486;0,78;1,083;0,9;"sinkholes";"artic:hot:subartic"
422;"Ain Psychean";7967;2,47;0,765;1,48;"cave:mountain:canyons";"subartic:arid:humid:artificial temperate:artic"
423;"Enishi Resonance Orphean";1037;1,71;1,044;1,18;"savanna:rock arche";"rocky:windy"
424;"Electra III";8860;0,6;1,015;0,84;"verdant:acid pool";"humid:frozen:temperate"
425;"Electra XIX";8860;6,9;0,748;2,1;"barren:cliff:canyons:verdant:cave";"hot:rocky:arid:superheated:temperate"
426;"Sekhmet's Resonance XI";2063;7,51;0,562;2,37;"cityscape:bog:jungle:river:hill";"windy:frigid:rocky:humid"
427;"Sekhmet's Resonance III";2063;8;1,096;1,94;"desert:rocky island";"humid:superheated:hot"
428;"Sekhmet's Resonance X";2063;6,75;0,392;2,58;"sea";"frozen:temperate"
429;"Sekhmet's Resonance XXII";2063;0,39;0,833;0,78;"verdant:valley";"windy:hot"
430;"Zenithariana III";3067;0,39;1,079;0,71;"sea:mountain";"hot"
431;"Tislit II";9418;1,43;xx;1,31;"plateau:field:valley:cityscape:forest:jungle";"frigid:subartic:artic:tropical"
432;"Astrobix Jiu";345;6,75;1,115;1,82;"cityscape:field:vine:rocky desert:scrubland";"arid:frozen:artic:frigid:artificial temperate"
433;"Obsidian Threshold Gamma";9334;2,19;1,065;1,27;"valley:ice cave";"hot:temperate:windy:tropical:frozen:arid"
434;"Dziban Ba";4522;1,11;0,871;1,08;"";"windy"
435;"Dziban Jiu";4522;3,37;1,312;1,37;"mountain:swamp:jungle";"rocky:subartic:humid:arid"
436;"Dziban Liu";4522;2,73;1,112;1,35;"river:rainforest";"hot:arid:humid:artificial temperate:artic:frozen"
437;"Starshard IX";690;3,52;0,847;1,61;"toxic cloudsea:cliff:forest";"hot:artic:rocky:arid"
438;"Starshard XV";690;1,42;0,995;1,13;"cliff:bog:jungle";"tropical:arid:hot"
439;"Starshard XXIV";690;6,19;0,93;xx;"desert:canyons:bog:cityscape:swamp:cliff:barren:river";"tropical:arid:superheated:frigid:artic:hot"
440;"Starshard X";690;4,39;1,219;1,53;"river:ice canyon:vine:volcano:acid pool:valley:tundra:lakes:lava river";"frigid:subartic:artic:frozen:arid:rocky"
441;"Ronin's Cascade Athenian";319;4,48;1,321;1,5;"sea:valley:ocean:river:grassy hill:bog:verdant:vine";"artificial temperate:superheated:frozen:temperate:hot"
442;"Shinju Serenity Gaios";9082;8,35;1,199;1,91;"sea:rocky island:tundra:rock arche:canyons:hill:scrubland:reef:cave";"frigid:arid:tropical:superheated:rocky:windy:hot"
443;"Setsuna Eta";1577;1,98;0,738;1,39;"lakes:rocky canyon";"temperate"
444;"Setsuna Epsilon";1577;0,89;0,778;1,05;"cave";"artic:subartic"
445;"Setsuna Omicron";1577;3,35;1,03;1,48;"cave:toxic cloudsea";"frozen"
446;"Scheat III";5163;7,59;1,252;1,82;"rocky island";"tropical:rocky:hot:artic"
447;"Celestial Echo VIII";4932;1,04;0,58;1,21;"sea:barren:forest:lava river:lakes";"temperate:artificial temperate:frigid:superheated:arid:rocky"
448;"Chara Kappa";668;2,4;0,926;1,37;"ice canyon:city:rock arche";"frozen:artic"
449;"Chara Mu";668;5,71;0,949;1,82;"ice cave:forest";"frigid:humid:frozen:arid:rocky:tropical"
450;"Chara Xi";668;6,58;0,965;1,9;"verdant";"superheated:frigid:artificial temperate"
451;"Heliconian Whispers XVII";6880;0,98;1,035;0,98;"rocky desert:field:valley";"superheated:artificial temperate:artic:tropical:windy:temperate"
452;"Heliconian Whispers X";6880;3,54;0,921;1,57;"ice canyon";"frozen:superheated"
453;"Vesperian Crypt XIII";8256;1,79;1,118;1,17;"rocky island:plain";"artificial temperate:arid:hot:temperate"
454;"Amun-Ra Mirage Tertial";4266;1,19;0,977;1,07;"hill:rocky desert:ice cave:grassy hill";"temperate:frozen:frigid:artic"
455;"Amun-Ra Mirage Octal";4266;3,5;0,995;1,52;"ice cave";"tropical:frigid:temperate:arid:artic:humid"
456;"Xihe Hermian";460;0,77;1,124;0,88;"tundra";"hot:windy:frozen:rocky:arid"
457;"Frostbloom Zephyrian";7815;5,35;0,953;1,78;"city:cityscape";"tropical"
458;"Dracothra Nereidos";3182;5,24;1,081;1,69;"acid pool:fungus forest:verdant:lakes:river";"humid:artificial temperate:windy:subartic"
459;"Galacticon XIII";9714;1,7;0,432;1,58;"cliff:lakes:rock arche:tundra:toxic cloudsea";"frozen:subartic:superheated"
460;"Tiaki Selenean";7065;6,74;0,702;2,12;"cliff:mountain:reef:barren:glacier";"hot:arid:artificial temperate:artic"
461;"Tiaki Persephonian";7065;1,7;0,908;1,23;"verdant:tundra";"frigid:windy:hot"
462;"Geisha's Whisper XXI";1793;2,94;0,749;1,58;"ocean:river:forest";"tropical:hot"
463;"Alcor Epsilon";1644;2,09;1,626;1,09;"swamp:river:reef:rocky desert:volcano:island:scrubland:canyons";"artificial temperate:frigid:superheated:humid:arid:windy"
